degree,superordinate,np_match,np_positiveness,adj,adj_positiveness,diff,matchingSuper,matchingSuperResp,cleanedPhrase,n,n_unique_resps,mode,isModeNP,isModeSuper,isModeNeither,isModeNP2,isModeSuper2,cleanMode
hardness,sweets,jolly rancher,positive,soft,negative,0,1,0,_hard sweets_,1,1,jolly ranchers,1,0,1,0,0,jolly ranchers
hardness,sweets,jolly rancher,positive,soft,negative,0,1,0,_sweets_,3,3,jolly ranchers,1,0,1,0,0,jolly ranchers
hardness,sweets,jolly rancher,positive,soft,negative,1,0,0,_jolly ranchers_,5,5,jolly ranchers,1,0,1,0,0,jolly ranchers
weight,people,kid,neither-nor,heavy,positive,0,0,0,_children_,1,1,kids,1,0,1,0,0,kids
weight,people,kid,neither-nor,heavy,positive,1,0,0,_kid_,1,1,kids,1,0,1,0,0,kids
weight,people,kid,neither-nor,heavy,positive,1,0,0,_kids age_,1,1,kids,1,0,1,0,0,kids
weight,people,kid,neither-nor,heavy,positive,1,0,0,_kids_,14,14,kids,1,0,1,0,0,kids
weight,people,kid,neither-nor,light,negative,0,0,0,_children age_,1,1,kids,1,0,1,0,0,kids
weight,people,kid,neither-nor,light,negative,0,0,0,_children picked_,1,1,kids,1,0,1,0,0,kids
weight,people,kid,neither-nor,light,negative,0,0,0,_children_,5,5,kids,1,0,1,0,0,kids
weight,people,kid,neither-nor,light,negative,0,1,0,_people_,2,2,kids,1,0,1,0,0,kids
weight,people,kid,neither-nor,light,negative,1,0,0,_kids age_,1,1,kids,1,0,1,0,0,kids
weight,people,kid,neither-nor,light,negative,1,0,0,_kids_,8,8,kids,1,0,1,0,0,kids
price,alcoholic drinks,liquor,positive,cheap,negative,0,0,0,_liqour_,1,1,liquor,0,0,0,0,0,liquor
price,alcoholic drinks,liquor,positive,cheap,negative,0,1,0,_alcoholic drinks_,1,1,liquor,0,0,0,0,0,liquor
price,alcoholic drinks,liquor,positive,cheap,negative,1,0,0,_liquor stores_,1,1,liquor,0,0,0,0,0,liquor
price,alcoholic drinks,liquor,positive,cheap,negative,1,0,0,_liquor_,6,6,liquor,0,0,0,0,0,liquor
price,alcoholic drinks,liquor,positive,cheap,negative,1,0,0,_top shelf liquor_,4,4,liquor,0,0,0,0,0,liquor
price,alcoholic drinks,liquor,positive,expensive,positive,0,0,0,_bottles alcohol_,1,1,liquor,0,0,0,0,0,liquor
price,alcoholic drinks,liquor,positive,expensive,positive,1,0,0,_liquor_,8,8,liquor,0,0,0,0,0,liquor
hardness,sweets,marshmallow,negative,hard,positive,0,1,0,_sweets_,1,1,marshmallows,1,0,1,0,0,marshmallows
hardness,sweets,marshmallow,negative,hard,positive,1,0,0,_fresh marshmallows_,1,1,marshmallows,1,0,1,0,0,marshmallows
hardness,sweets,marshmallow,negative,hard,positive,1,0,0,_marshmallows_,12,12,marshmallows,1,0,1,0,0,marshmallows
hardness,sweets,marshmallow,negative,soft,negative,0,0,0,_foods_,4,4,marshmallows,1,0,1,0,0,marshmallows
hardness,sweets,marshmallow,negative,soft,negative,1,0,0,_brands marshmallows_,1,1,marshmallows,1,0,1,0,0,marshmallows
hardness,sweets,marshmallow,negative,soft,negative,1,0,0,_marshmallows eaten_,1,1,marshmallows,1,0,1,0,0,marshmallows
hardness,sweets,marshmallow,negative,soft,negative,1,0,0,_marshmallows_,5,5,marshmallows,1,0,1,0,0,marshmallows
height,animals,monkey,neither-nor,short,negative,1,0,0,_monkeys zoo_,1,1,monkeys,1,0,1,0,0,monkeys
height,animals,monkey,neither-nor,short,negative,1,0,0,_monkeys_,7,7,monkeys,1,0,1,0,0,monkeys
height,animals,monkey,neither-nor,tall,positive,1,0,0,_monkeys_,11,11,monkeys,1,0,1,0,0,monkeys
size,animals,monkey,neither-nor,big,positive,0,1,0,_animals_,1,1,monkeys,1,0,1,0,0,monkeys
size,animals,monkey,neither-nor,big,positive,1,0,0,_monkeys_,8,8,monkeys,1,0,1,0,0,monkeys
size,animals,monkey,neither-nor,small,negative,0,1,0,_animals_,1,1,monkeys,1,0,1,0,0,monkeys
size,animals,monkey,neither-nor,small,negative,1,0,0,_monkey's_,1,1,monkeys,1,0,1,0,0,monkeys
size,animals,monkey,neither-nor,small,negative,1,0,0,_monkey_,1,1,monkeys,1,0,1,0,0,monkeys
size,animals,monkey,neither-nor,small,negative,1,0,0,_monkeys_,7,7,monkeys,1,0,1,0,0,monkeys
size,animals,mouse,negative,big,positive,0,0,0,_rodents_,1,1,mouse,0,0,0,0,0,mice
size,animals,mouse,negative,big,positive,1,0,0,_mouse_,12,12,mouse,0,0,0,0,0,mice
size,animals,mouse,negative,big,positive,1,0,0,_mouses_,1,1,mouse,0,0,0,0,0,mice
size,animals,mouse,negative,small,negative,0,0,0,_rodents_,1,1,mouse,0,0,0,0,0,mice
size,animals,mouse,negative,small,negative,0,1,0,_animals_,3,3,mouse,0,0,0,0,0,mice
size,animals,mouse,negative,small,negative,1,0,0,_mouse_,5,5,mouse,0,0,0,0,0,mice
darkness,times day,dusk,neither-nor,light,positive,0,0,0,_days_,1,1,nights,0,0,0,0,0,nights
darkness,times day,dusk,neither-nor,light,positive,0,0,0,_evenings_,1,1,nights,0,0,0,0,0,nights
darkness,times day,dusk,neither-nor,light,positive,0,0,0,_night_,1,1,nights,0,0,0,0,0,nights
darkness,times day,dusk,neither-nor,light,positive,0,0,0,_nights_,3,3,nights,0,0,0,0,0,nights
darkness,times day,dusk,neither-nor,light,positive,0,0,0,_times evening_,1,1,nights,0,0,0,0,0,nights
darkness,times day,dusk,neither-nor,light,positive,0,0,1,_times_,1,1,nights,0,0,0,0,0,nights
darkness,times day,dusk,neither-nor,light,positive,1,0,0,_days dusk_,1,1,nights,0,0,0,0,0,nights
darkness,times day,dusk,neither-nor,light,positive,1,0,0,_dusks_,3,3,nights,0,0,0,0,0,nights
darkness,times day,night,negative,dark,negative,0,0,1,_times_,2,2,nights,1,0,1,0,0,nights
darkness,times day,night,negative,dark,negative,0,1,0,_times day_,4,4,nights,1,0,1,0,0,nights
darkness,times day,night,negative,dark,negative,1,0,0,_nights_,7,7,nights,1,0,1,0,0,nights
darkness,times day,night,negative,light,positive,1,0,0,_night_,1,1,nights,1,0,1,0,0,nights
darkness,times day,night,negative,light,positive,1,0,0,_nights_,10,10,nights,1,0,1,0,0,nights
length_duration,readings,novel,positive,long,positive,0,0,0,_compared book lengths_,1,1,novels,1,0,1,0,0,novels
length_duration,readings,novel,positive,long,positive,0,1,0,_readings_,3,3,novels,1,0,1,0,0,novels
length_duration,readings,novel,positive,long,positive,1,0,0,_novels_,4,4,novels,1,0,1,0,0,novels
length_duration,readings,novel,positive,short,negative,0,1,0,_readings_,3,3,novels,1,0,1,0,0,novels
length_duration,readings,novel,positive,short,negative,1,0,0,_novels_,6,6,novels,1,0,1,0,0,novels
darkness,birds,parrot,neither-nor,dark,negative,0,0,0,_animals_,1,1,parrots,1,0,1,0,0,parrots
darkness,birds,parrot,neither-nor,dark,negative,0,0,0,_times day_,1,1,parrots,1,0,1,0,0,parrots
darkness,birds,parrot,neither-nor,dark,negative,0,1,0,_birds_,4,4,parrots,1,0,1,0,0,parrots
darkness,birds,parrot,neither-nor,dark,negative,1,0,0,_parrots_,10,10,parrots,1,0,1,0,0,parrots
darkness,birds,parrot,neither-nor,light,positive,0,0,0,_bird colors_,1,1,parrots,1,0,1,0,0,parrots
darkness,birds,parrot,neither-nor,light,positive,0,0,0,_colors_,3,3,parrots,1,0,1,0,0,parrots
darkness,birds,parrot,neither-nor,light,positive,0,1,0,_birds_,4,4,parrots,1,0,1,0,0,parrots
darkness,birds,parrot,neither-nor,light,positive,1,0,0,_parrot's plumage_,1,1,parrots,1,0,1,0,0,parrots
darkness,birds,parrot,neither-nor,light,positive,1,0,0,_parrots_,7,7,parrots,1,0,1,0,0,parrots
strength,people,adult,positive,strong,positive,0,0,0,_boxes_,1,1,people,0,0,0,0,0,people
strength,people,adult,positive,strong,positive,0,1,0,_people_,6,6,people,0,0,0,0,0,people
strength,people,adult,positive,strong,positive,1,0,0,_adults lift_,1,1,people,0,0,0,0,0,people
strength,people,adult,positive,strong,positive,1,0,0,_adults_,5,5,people,0,0,0,0,0,people
weight,people,adult,positive,heavy,positive,0,1,0,_people_,6,6,people,0,0,0,0,0,people
weight,people,adult,positive,heavy,positive,1,0,0,_adults_,5,5,people,0,0,0,0,0,people
height,athletes,golfer,neither-nor,tall,positive,0,0,0,_people_,7,7,people,0,0,0,0,0,people
height,athletes,golfer,neither-nor,tall,positive,1,0,0,_golfers_,4,4,people,0,0,0,0,0,people
height,athletes,jockey,negative,short,negative,0,0,0,_people_,5,5,people,0,0,0,0,0,people
height,athletes,jockey,negative,short,negative,0,1,0,_athletes_,1,1,people,0,0,0,0,0,people
height,athletes,jockey,negative,short,negative,1,0,0,_jockeys_,4,4,people,0,0,0,0,0,people
strength,people,teenager,neither-nor,weak,negative,0,1,0,_people_,6,6,people,0,0,0,0,0,people
strength,people,teenager,neither-nor,weak,negative,1,0,0,_teenageragers_,6,6,people,0,0,0,0,0,people
speed,athletes,walker,negative,slow,negative,0,0,0,_people walking park_,1,1,people,0,0,0,0,0,people
speed,athletes,walker,negative,slow,negative,0,0,0,_people walking_,1,1,people,0,0,0,0,0,people
speed,athletes,walker,negative,slow,negative,0,0,0,_people_,2,2,people,0,0,0,0,0,people
speed,athletes,walker,negative,slow,negative,1,0,0,_walkers_,2,2,people,0,0,0,0,0,people
length_duration,readings,poem,negative,long,positive,0,0,0,_peom_,1,1,poems,1,0,1,0,0,poems
length_duration,readings,poem,negative,long,positive,1,0,0,_poems_,8,8,poems,1,0,1,0,0,poems
length_duration,readings,poem,negative,short,negative,1,0,0,_poems friend read_,1,1,poems,1,0,1,0,0,poems
length_duration,readings,poem,negative,short,negative,1,0,0,_poems_,14,14,poems,1,0,1,0,0,poems
strength,storms,rain,negative,strong,positive,0,0,0,_days_,1,1,rain,0,0,0,0,0,rain
strength,storms,rain,negative,strong,positive,0,0,0,_weather conditions storm_,1,1,rain,0,0,0,0,0,rain
strength,storms,rain,negative,strong,positive,0,0,0,_weather_,1,1,rain,0,0,0,0,0,rain
strength,storms,rain,negative,strong,positive,0,1,0,_storms_,1,1,rain,0,0,0,0,0,rain
strength,storms,rain,negative,strong,positive,1,0,0,_instances rain_,1,1,rain,0,0,0,0,0,rain
strength,storms,rain,negative,strong,positive,1,0,0,_rain showers_,1,1,rain,0,0,0,0,0,rain
strength,storms,rain,negative,strong,positive,1,0,0,_rain_,2,2,rain,0,0,0,0,0,rain
strength,storms,rain,negative,strong,positive,1,0,0,_rains_,1,1,rain,0,0,0,0,0,rain
strength,storms,rain,negative,strong,positive,1,1,0,_rain storms_,1,1,rain,0,0,0,0,0,rain
strength,storms,rain,negative,strong,positive,1,1,0,_rainstorms_,2,2,rain,0,0,0,0,0,rain
width,roads,side road,negative,narrow,negative,0,0,1,_road_,1,1,roads,0,0,0,0,0,roads
width,roads,side road,negative,narrow,negative,0,1,0,_roads_,11,11,roads,0,0,0,0,0,roads
width,roads,side road,negative,wide,positive,0,0,1,_road_,1,1,roads,0,0,0,0,0,roads
width,roads,side road,negative,wide,positive,0,1,0,_roads_,4,4,roads,0,0,0,0,0,roads
width,roads,side road,negative,wide,positive,1,1,0,_side roads_,2,2,roads,0,0,0,0,0,roads
loudness,rooms,auditorium,positive,loud,positive,0,0,0,_school_,1,1,rooms,0,0,0,0,0,rooms
loudness,rooms,auditorium,positive,loud,positive,0,0,0,_schools_,1,1,rooms,0,0,0,0,0,rooms
loudness,rooms,auditorium,positive,loud,positive,0,1,0,_rooms school_,1,1,rooms,0,0,0,0,0,rooms
loudness,rooms,auditorium,positive,loud,positive,0,1,0,_rooms_,4,4,rooms,0,0,0,0,0,rooms
loudness,rooms,auditorium,positive,loud,positive,0,1,0,_school rooms_,1,1,rooms,0,0,0,0,0,rooms
loudness,rooms,auditorium,positive,loud,positive,1,0,0,_auditoriums_,2,2,rooms,0,0,0,0,0,rooms
loudness,rooms,auditorium,positive,quiet,negative,0,0,0,_arenas_,1,1,rooms,0,0,0,0,0,rooms
loudness,rooms,auditorium,positive,quiet,negative,0,0,0,_building_,1,1,rooms,0,0,0,0,0,rooms
loudness,rooms,auditorium,positive,quiet,negative,0,0,0,_events_,1,1,rooms,0,0,0,0,0,rooms
loudness,rooms,auditorium,positive,quiet,negative,0,0,0,_school_,1,1,rooms,0,0,0,0,0,rooms
loudness,rooms,auditorium,positive,quiet,negative,0,0,0,_schools_,2,2,rooms,0,0,0,0,0,rooms
loudness,rooms,auditorium,positive,quiet,negative,0,1,0,_rooms_,6,6,rooms,0,0,0,0,0,rooms
loudness,rooms,auditorium,positive,quiet,negative,1,0,0,_auditoriums_,1,1,rooms,0,0,0,0,0,rooms
loudness,rooms,auditorium,positive,quiet,negative,1,0,0,_school auditoriums_,1,1,rooms,0,0,0,0,0,rooms
loudness,rooms,study,negative,quiet,negative,0,0,0,_buildings_,2,2,rooms,0,0,0,0,0,rooms
loudness,rooms,study,negative,quiet,negative,0,0,0,_classes_,2,2,rooms,0,0,0,0,0,rooms
loudness,rooms,study,negative,quiet,negative,0,0,0,_halls_,1,1,rooms,0,0,0,0,0,rooms
loudness,rooms,study,negative,quiet,negative,0,1,0,_class rooms_,1,1,rooms,0,0,0,0,0,rooms
loudness,rooms,study,negative,quiet,negative,0,1,0,_rooms school_,1,1,rooms,0,0,0,0,0,rooms
loudness,rooms,study,negative,quiet,negative,0,1,0,_rooms_,3,3,rooms,0,0,0,0,0,rooms
loudness,rooms,study,negative,quiet,negative,0,1,0,_school rooms_,1,1,rooms,0,0,0,0,0,rooms
loudness,rooms,study,negative,quiet,negative,1,0,0,_study hall_,1,1,rooms,0,0,0,0,0,rooms
loudness,rooms,study,negative,quiet,negative,1,0,0,_study halls_,3,3,rooms,0,0,0,0,0,rooms
speed,athletes,runner,positive,quick,positive,0,0,0,_people park_,1,1,runners,1,0,1,0,0,runners
speed,athletes,runner,positive,quick,positive,0,0,0,_people_,4,4,runners,1,0,1,0,0,runners
speed,athletes,runner,positive,quick,positive,1,0,0,_runners_,6,6,runners,1,0,1,0,0,runners
speed,athletes,runner,positive,slow,negative,0,0,0,_people_,1,1,runners,1,0,1,0,0,runners
speed,athletes,runner,positive,slow,negative,1,0,0,_runners_,16,16,runners,1,0,1,0,0,runners
temperature,food,salad,neither-nor,cold,negative,0,1,0,_food_,2,2,salads,1,0,1,0,0,salads
temperature,food,salad,neither-nor,cold,negative,0,1,0,_foods partakes_,1,1,salads,1,0,1,0,0,salads
temperature,food,salad,neither-nor,cold,negative,0,1,0,_foods_,2,2,salads,1,0,1,0,0,salads
temperature,food,salad,neither-nor,cold,negative,1,0,0,_salads eaten_,1,1,salads,1,0,1,0,0,salads
temperature,food,salad,neither-nor,cold,negative,1,0,0,_salads_,6,6,salads,1,0,1,0,0,salads
temperature,food,salad,neither-nor,warm,positive,1,0,0,_salads eaten_,1,1,salads,1,0,1,0,0,salads
temperature,food,salad,neither-nor,warm,positive,1,0,0,_salads_,11,11,salads,1,0,1,0,0,salads
darkness,birds,seagull,positive,dark,negative,0,1,0,_birds_,2,2,seagulls,1,0,1,0,0,seagulls
darkness,birds,seagull,positive,dark,negative,1,0,0,_seagulls_,10,10,seagulls,1,0,1,0,0,seagulls
speed,animals,sloth,negative,quick,positive,1,0,0,_sloths_,10,10,sloths,1,0,1,0,0,sloths
temperature,food,soup,positive,cold,negative,0,1,0,_food eating_,1,1,soups,1,0,1,0,0,soups
temperature,food,soup,positive,cold,negative,0,1,0,_food_,2,2,soups,1,0,1,0,0,soups
temperature,food,soup,positive,cold,negative,0,1,0,_foods_,1,1,soups,1,0,1,0,0,soups
temperature,food,soup,positive,cold,negative,1,0,0,_soup_,3,3,soups,1,0,1,0,0,soups
temperature,food,soup,positive,cold,negative,1,0,0,_soups_,9,9,soups,1,0,1,0,0,soups
temperature,food,soup,positive,warm,positive,0,0,0,_temperatures_,1,1,soups,1,0,1,0,0,soups
temperature,food,soup,positive,warm,positive,0,1,0,_food_,1,1,soups,1,0,1,0,0,soups
temperature,food,soup,positive,warm,positive,0,1,0,_foods_,3,3,soups,1,0,1,0,0,soups
temperature,food,soup,positive,warm,positive,1,0,0,_soup_,1,1,soups,1,0,1,0,0,soups
temperature,food,soup,positive,warm,positive,1,0,0,_soups eaten_,1,1,soups,1,0,1,0,0,soups
temperature,food,soup,positive,warm,positive,1,0,0,_soups_,5,5,soups,1,0,1,0,0,soups
price,statues,bronze,neither-nor,cheap,negative,0,0,0,_docorations_,1,1,statues,0,0,0,0,0,statues
price,statues,bronze,neither-nor,cheap,negative,0,0,0,_products_,1,1,statues,0,0,0,0,0,statues
price,statues,bronze,neither-nor,cheap,negative,0,1,0,_statues_,4,4,statues,0,0,0,0,0,statues
price,statues,bronze,neither-nor,cheap,negative,1,1,0,_bronze statues_,2,2,statues,0,0,0,0,0,statues
price,statues,bronze,neither-nor,expensive,positive,0,0,0,_decoration products_,1,1,statues,0,0,0,0,0,statues
price,statues,bronze,neither-nor,expensive,positive,0,1,0,_statues_,7,7,statues,0,0,0,0,0,statues
price,statues,bronze,neither-nor,expensive,positive,1,1,0,_bronze statues_,2,2,statues,0,0,0,0,0,statues
price,statues,bronze,neither-nor,expensive,positive,1,1,0,_statues bronze_,1,1,statues,0,0,0,0,0,statues
price,statues,plastic,negative,cheap,negative,0,0,0,_decoration_,1,1,statues,0,0,0,0,0,statues
price,statues,plastic,negative,cheap,negative,0,0,0,_decorations_,1,1,statues,0,0,0,0,0,statues
price,statues,plastic,negative,cheap,negative,0,1,0,_statues_,14,14,statues,0,0,0,0,0,statues
price,statues,plastic,negative,cheap,negative,1,0,0,_plastics_,1,1,statues,0,0,0,0,0,statues
price,statues,plastic,negative,cheap,negative,1,1,0,_plastic statues_,1,1,statues,0,0,0,0,0,statues
price,statues,platinum,positive,cheap,negative,0,0,1,_statue_,1,1,statues,0,0,0,0,0,statues
price,statues,platinum,positive,cheap,negative,0,1,0,_statues shop_,1,1,statues,0,0,0,0,0,statues
price,statues,platinum,positive,cheap,negative,0,1,0,_statues_,5,5,statues,0,0,0,0,0,statues
price,statues,platinum,positive,cheap,negative,1,0,0,_platinum items_,1,1,statues,0,0,0,0,0,statues
price,statues,platinum,positive,expensive,positive,0,0,0,_bought store_,1,1,statues,0,0,0,0,0,statues
price,statues,platinum,positive,expensive,positive,0,0,0,_items sale_,1,1,statues,0,0,0,0,0,statues
price,statues,platinum,positive,expensive,positive,0,0,0,_minerals_,1,1,statues,0,0,0,0,0,statues
price,statues,platinum,positive,expensive,positive,0,0,0,_money buy_,1,1,statues,0,0,0,0,0,statues
price,statues,platinum,positive,expensive,positive,0,1,0,_statues_,10,10,statues,0,0,0,0,0,statues
price,statues,platinum,positive,expensive,positive,1,0,0,_platinum_,1,1,statues,0,0,0,0,0,statues
strength,storms,rain,negative,weak,negative,0,0,0,_sounds_,1,1,storms,0,0,0,0,0,storms
strength,storms,rain,negative,weak,negative,0,1,0,_storms_,2,2,storms,0,0,0,0,0,storms
strength,storms,rain,negative,weak,negative,1,0,0,_rain_,1,1,storms,0,0,0,0,0,storms
strength,storms,rain,negative,weak,negative,1,1,0,_rain storms_,2,2,storms,0,0,0,0,0,storms
strength,storms,rain,negative,weak,negative,1,1,0,_rainstorms_,2,2,storms,0,0,0,0,0,storms
strength,storms,thunderstorm,neither-nor,strong,positive,0,1,0,_storms_,5,5,storms,0,0,0,0,0,storms
strength,storms,thunderstorm,neither-nor,strong,positive,1,1,0,_thunderstorms_,5,5,storms,0,0,0,0,0,storms
length_duration,readings,story,neither-nor,long,positive,0,1,0,_readings_,1,1,story,0,0,0,0,0,stories
length_duration,readings,story,neither-nor,long,positive,1,0,0,_story_,15,15,story,0,0,0,0,0,stories
length_duration,readings,story,neither-nor,short,negative,0,1,0,_readings_,3,3,story,0,0,0,0,0,stories
length_duration,readings,story,neither-nor,short,negative,1,0,0,_story_,12,12,story,0,0,0,0,0,stories
width,roads,downtown street,neither-nor,narrow,negative,0,0,0,_streets_,13,13,streets,0,0,0,0,0,streets
width,roads,downtown street,neither-nor,wide,positive,0,0,0,_steets_,1,1,streets,0,0,0,0,0,streets
width,roads,downtown street,neither-nor,wide,positive,0,0,0,_streets_,12,12,streets,0,0,0,0,0,streets
width,roads,downtown street,neither-nor,wide,positive,0,1,0,_roads_,2,2,streets,0,0,0,0,0,streets
loudness,rooms,study,negative,loud,positive,0,0,0,_school classes_,1,1,study halls,1,0,1,0,0,study halls
loudness,rooms,study,negative,loud,positive,0,1,0,_rooms_,2,2,study halls,1,0,1,0,0,study halls
loudness,rooms,study,negative,loud,positive,1,0,0,_study halls_,3,3,study halls,1,0,1,0,0,study halls
loudness,rooms,study,negative,loud,positive,1,0,0,_study_,1,1,study halls,1,0,1,0,0,study halls
loudness,rooms,study,negative,loud,positive,1,0,0,_times study hall_,1,1,study halls,1,0,1,0,0,study halls
temperature,seasons,summer,positive,cold,negative,0,0,0,_days_,3,3,summer days,1,0,1,0,0,summer days
temperature,seasons,summer,positive,cold,negative,1,0,0,_days summer_,2,2,summer days,1,0,1,0,0,summer days
temperature,seasons,summer,positive,cold,negative,1,0,0,_summer days_,4,4,summer days,1,0,1,0,0,summer days
temperature,seasons,summer,positive,cold,negative,1,0,0,_summers_,1,1,summer days,1,0,1,0,0,summer days
hardness,sweets,chocolate,neither-nor,soft,negative,0,0,0,_foods_,1,1,sweets,0,0,0,0,0,sweets
hardness,sweets,chocolate,neither-nor,soft,negative,0,1,0,_sweets_,3,3,sweets,0,0,0,0,0,sweets
hardness,sweets,chocolate,neither-nor,soft,negative,0,1,0,_types sweets_,1,1,sweets,0,0,0,0,0,sweets
hardness,sweets,chocolate,neither-nor,soft,negative,1,0,0,_chocolate_,3,3,sweets,0,0,0,0,0,sweets
hardness,sweets,chocolate,neither-nor,soft,negative,1,0,0,_chocolates_,2,2,sweets,0,0,0,0,0,sweets
hardness,sweets,chocolate,neither-nor,soft,negative,1,0,0,_pieces chocolate_,1,1,sweets,0,0,0,0,0,sweets
hardness,sweets,chocolate,neither-nor,soft,negative,1,0,0,_types chocolate_,1,1,sweets,0,0,0,0,0,sweets
hardness,sweets,jolly rancher,positive,hard,positive,0,1,0,_sweets_,8,8,sweets,0,0,0,0,0,sweets
strength,people,teenager,neither-nor,strong,positive,0,0,0,_boxes_,1,1,teenageragers,1,0,1,0,0,teenagers
strength,people,teenager,neither-nor,strong,positive,0,0,0,_kids_,1,1,teenageragers,1,0,1,0,0,teenagers
strength,people,teenager,neither-nor,strong,positive,0,1,0,_people_,5,5,teenageragers,1,0,1,0,0,teenagers
strength,people,teenager,neither-nor,strong,positive,1,0,0,_teenageragers_,6,6,teenageragers,1,0,1,0,0,teenagers
strength,storms,thunderstorm,neither-nor,weak,negative,0,1,0,_storms_,4,4,thunderstorms,1,0,1,0,0,thunderstorms
strength,storms,thunderstorm,neither-nor,weak,negative,1,1,0,_thunderstorms_,7,7,thunderstorms,1,0,1,0,0,thunderstorms
darkness,times day,dusk,neither-nor,dark,negative,0,0,0,_evenings_,1,1,times day,0,0,0,0,0,times of day
darkness,times day,dusk,neither-nor,dark,negative,0,0,0,_nights_,2,2,times day,0,0,0,0,0,times of day
darkness,times day,dusk,neither-nor,dark,negative,0,1,0,_times day_,5,5,times day,0,0,0,0,0,times of day
darkness,times day,dusk,neither-nor,dark,negative,1,0,0,_dusks_,1,1,times day,0,0,0,0,0,times of day
size,plants,tree,positive,big,positive,0,0,0,_objects_,1,1,trees,1,0,1,0,0,trees
size,plants,tree,positive,big,positive,1,0,0,_trees gardening store_,1,1,trees,1,0,1,0,0,trees
size,plants,tree,positive,big,positive,1,0,0,_trees_,5,5,trees,1,0,1,0,0,trees
size,plants,tree,positive,small,negative,1,0,0,_trees_,8,8,trees,1,0,1,0,0,trees
speed,athletes,walker,negative,quick,positive,0,0,0,_people walking_,1,1,walkers,1,0,1,0,0,walkers
speed,athletes,walker,negative,quick,positive,0,0,0,_people_,3,3,walkers,1,0,1,0,0,walkers
speed,athletes,walker,negative,quick,positive,1,0,0,_walkers_,7,7,walkers,1,0,1,0,0,walkers
price,alcoholic drinks,wine,neither-nor,cheap,negative,0,0,0,_prices_,1,1,wines,1,0,1,0,0,wines
price,alcoholic drinks,wine,neither-nor,cheap,negative,1,0,0,_bottles wine_,3,3,wines,1,0,1,0,0,wines
price,alcoholic drinks,wine,neither-nor,cheap,negative,1,0,0,_wine_,5,5,wines,1,0,1,0,0,wines
price,alcoholic drinks,wine,neither-nor,cheap,negative,1,0,0,_wines_,7,7,wines,1,0,1,0,0,wines
temperature,seasons,winter,negative,warm,positive,0,0,0,_days_,2,2,winter days,1,0,1,0,0,winter days
temperature,seasons,winter,negative,warm,positive,0,1,0,_seasons_,1,1,winter days,1,0,1,0,0,winter days
temperature,seasons,winter,negative,warm,positive,1,0,0,_days winter_,3,3,winter days,1,0,1,0,0,winter days
temperature,seasons,winter,negative,warm,positive,1,0,0,_winter days_,10,10,winter days,1,0,1,0,0,winter days
